"";"classe 1";"classe 2";"classe 3";"classe 4"
"juiz";0,004;0,195;0,03;0
"processo";0,259;0,753;0;0
"direito";0;0,015;0;0
"magistrado";0;0;0;0
"penal";0,292;0,208;0;0
"morar";0;0,333;0;0,703
"decisão";0;0,509;0,021;0,008
"fato";0,09;0,401;0,004;0,453
"advogado";0,189;0,022;0,006;0
"caso";0,784;0,404;0,12;0,058
"interceptação";0,027;0,065;0;0
"paciente";0;0,337;0;0,005
"sérgio";0;0,107;0;0,013
"prova";0,005;0,172;0,014;0
"ministro";0,03;0,208;0,697;0,014
"lula";0,08;0;0;0,119
"imparcialidade";0,055;0,101;0;0
"defesa";0,751;0,613;0,01;0,008
"ação";0;0,905;0,677;0
"auto";0;0,037;0,003;0,882
"stf";0,007;0,668;0,298;0,283
"mpf";0,832;0,218;0;0
"ex_presidente";0,264;0;0,033;0,609
"ato";0,266;0,006;0,925;0,004
"dia";0,363;0,668;0;0,001
"dever";0,074;0,116;0;0,025
"acordo";0,002;0,668;0,065;0,5
"mesmo";0;0,321;0,043;0,503
"julgar";0,338;0,655;0;0
"julgador";0,115;0,58;0;0,001
"judicial";0,052;0,015;0,214;0,204
"juízo";0,435;0,502;0,143;0,008
"telefônico";0,82;0,403;0,001;0
"sistema";0,143;0,271;0;0
"ex_juiz";0;0,228;0,004;0,001
"próprio";0,003;0,146;0,277;0,009
"processual";0,073;0,207;0,337;0,001
"escritório";0,001;0,069;0;0
"diálogo";0,638;0,229;0,001;0
"tribunal";0,202;0,086;0,001;0,002
"ordem";0,416;0,338;0,489;0,47
"art";0,029;0,119;0;0,002
"teixeira";0,004;0,024;0;0
"público";0,201;0,338;0,88;0,047
"operação";0;0,54;0,012;0,003
"condução";0;0,024;0,739;0,061
"ofício";0,628;0,447;0,023;0,001
"lava_jato";0;0,695;0,001;0,134
"investigação";0,011;0,502;0,964;0,061
"habeas_corpus";0,014;0,448;0,169;0,754
"deltan";0,143;0,1;0;0
"atuação";0,003;0;0,08;0
"vez";0,158;0,655;0,154;0,865
"coercitivo";0,025;0,034;0,873;0,5
"acusatório";0,342;0,295;0;0,002
"terminal";0,003;0,037;0,001;0
"destacar";0;0,157;0,051;0,47
"dar";0,048;0,715;0,125;0,002
"justiça";0,08;0,527;0;0,003
"investigar";0,675;0,034;0,031;0,783
"hc";0;0,759;0,091;0,089
"nao";0,013;0,086;0,002;0
"medida";0,012;0,594;0,382;0,076
"julgamento";0,924;0,007;0,252;0,003
"afirmar";0,009;0;0,656;0,329
"turma";0;0,807;0,133;0,028
"relator";0,014;0,45;0,169;0,166
"pessoa";0,012;0,041;0,037;0,103
"federal";0;0,054;0;0,18
"conversa";0,005;0,049;0,32;0,865
"referido";0,44;0,094;0,011;0
"político";0,006;0;0,557;0,003
"modo";0,08;0,527;0,001;0,221
"membro";0;0,054;0,002;0,974
"humano";0,061;0,331;0;0,002
"curitiba";0;0,411;0,001;0,016
"constitucional";0,021;0,485;0;0,002
"sigilo";0,003;0,401;0,199;0,433
"roberto";0,294;0,045;0;0
"informação";0,919;0,189;0,002;0
"estratégia";0,002;0,996;0,037;0,436
"dizer";0,13;0,157;0,125;0
"advocacia";0,014;0,045;0;0
"pedir";0,508;0,853;0,015;0,002
"forma";0,09;0,996;0,557;0,035
"competência";0,328;0,416;0,363;0,018
"autoridade";0,825;0,788;0,968;0,668
"relação";0,282;0,874;0,066;0,329
"garantia";0,021;0,485;0;0
"acusação";0,042;0,189;0,029;0,002
"relevante";0,784;0,534;0,557;0,436
"questão";0,157;0,017;0,495;0,793
"prisão";0;0,066;0,002;0,002
"interceptar";0,282;0,071;0,019;0
"achar";0,009;0,071;0,001;0
"juntar";0,001;0,104;0,015;0,545
"força_tarefa";0;0,25;0,001;0,961
"violação";0,825;0,788;0,001;0,002
"suspeição";0,576;0;0,845;0,066
"pf";0,825;0,094;0,002;0
"momento";0,3;0,048;0,157;0,354
"lils";0,015;0,094;0,002;0
"falar";0,011;0,672;0,413;0,001
"criminal";0,961;0,25;0;0,005
"crime";0,259;0,033;0,178;0,067
"colaboração";0,005;0,807;0,412;0,129
"verificar";0,005;0,925;0,117;0,303
"utilizar";0;0,728;0,009;0,232
"tomar";0,769;0,487;0,654;0,229
"telefone";0,042;0,274;0,007;0
"só";0,741;0,331;0,299;0,154
"sentido";0,672;0,996;0,001;0,005
"procurador";0,3;0,365;0,003;0,008
"palocci";0,177;0,352;0,419;0,007
"lei";0,261;0,672;0,012;0,001
"interesse";0,157;0;0,771;0,002
"ilícito";0,042;0,672;0;0,006
"dúvida";0,44;0,788;0,051;0,288
"claro";0,971;0;0,199;0,191
"bom";0,061;0,094;0,042;0
"saber";0,259;0,114;0,019;0
"réu";0,672;0,128;0,118;0,024
"parecer";0,018;0,004;0,004;0,191
"objeto";0,877;0,842;0,764;0,763
"nota";0,769;0,138;0,033;0,001
"mandar";0,585;0,114;0,199;0,004
"função";0,061;0,331;0;0,011
"depoimento";0;0,168;0,195;0,188
"corte";0,345;0,487;0,019;0,007
"corrupção";0,306;0,002;0,118;0,005
"acusar";0,157;0,301;0;0,002
"vara";0;0,114;0,07;0,004
"sentença";0;0,842;0,151;0,042
"reconhecer";0,001;0,487;0,911;0,007
"paulo";0,259;0,922;0,07;0,004
"justificar";0,018;0,922;0,448;0,191
"grupo";0,744;0,138;0,033;0,004
"edoc";0,074;0,004;0,004;0,433
