juiz;38;10;46;19
processo;16;10;53;8
direito;3;2;59;1
magistrado;32;18;7;5
penal;21;6;47;1
morar;37;13;4;28
decisão;29;9;11;10
fato;20;10;10;23
advogado;10;2;10;39
caso;9;7;18;8
interceptação;7;3;4;46
paciente;35;4;3;7
sérgio;33;11;3;10
prova;19;3;23;3
ministro;8;4;5;1
lula;6;17;4;20
imparcialidade;5;9;29;1
defesa;10;7;23;7
ação;21;5;11;1
auto;18;0;2;9
stf;13;3;7;7
mpf;11;3;3;28
ex_presidente;5;11;5;12
ato;10;9;10;3
dia;9;3;0;18
dever;5;2;28;7
acordo;14;3;5;8
mesmo;19;3;7;11
julgar;4;4;18;0
julgador;5;6;25;3
judicial;14;0;16;9
juízo;6;3;7;18
telefônico;8;3;3;23
sistema;4;2;25;1
ex_juiz;23;7;4;3
próprio;15;7;8;4
processual;11;6;12;1
escritório;0;1;1;34
diálogo;9;2;2;21
tribunal;7;0;13;0
ordem;8;5;7;7
art;2;1;25;2
teixeira;1;0;0;33
público;9;5;9;4
operação;23;3;4;3
condução;18;0;10;6
ofício;5;2;3;16
lava_jato;20;5;2;7
investigação;14;3;11;6
habeas_corpus;3;0;0;1
deltan;4;1;0;27
atuação;12;9;4;0
vez;9;4;5;8
coercitivo;12;0;10;8
acusatório;5;2;22;2
terminal;0;0;1;28
destacar;15;1;4;7
dar;2;4;5;16
justiça;2;2;19;1
investigar;6;0;15;9
hc;5;1;0;0
nao;0;0;0;20
medida;11;4;6;4
julgamento;4;6;8;0
afirmar;0;9;8;5
turma;8;1;1;0
relator;3;1;0;0
pessoa;1;0;14;13
federal;20;0;0;5
conversa;12;0;6;8
referido;3;0;1;15
político;0;14;9;1
modo;2;2;15;5
membro;16;0;1;8
humano;1;1;17;0
curitiba;21;2;1;3
constitucional;1;2;21;1
sigilo;9;1;3;4
roberto;4;0;0;23
informação;6;1;1;17
estratégia;12;3;3;6
dizer;3;1;5;18
advocacia;1;0;0;26
pedir;3;2;1;12
forma;9;3;9;3
competência;7;4;9;2
autoridade;4;2;6;7
relação;3;3;11;5
garantia;1;2;22;0
acusação;10;1;13;1
relevante;5;4;9;6
questão;2;6;5;7
prisão;14;5;0;0
interceptar;3;0;2;17
achar;0;0;0;22
juntar;10;0;1;7
força_tarefa;14;1;0;7
violação;4;2;13;0
suspeição;1;4;2;0
pf;4;0;0;15
momento;6;5;3;4
lils;0;0;0;19
falar;0;2;5;14
criminal;5;1;15;1
crime;2;5;8;2
colaboração;6;1;2;1
verificar;8;2;2;3
utilizar;13;2;1;4
tomar;3;1;4;7
telefone;1;1;1;18
só;5;1;4;9
sentido;3;2;11;0
procurador;6;1;0;11
palocci;0;0;1;5
lei;7;2;12;0
interesse;2;11;7;0
ilícito;1;2;17;1
dúvida;3;2;10;4
claro;4;7;3;3
bom;1;0;2;16
saber;2;0;1;14
réu;3;4;8;1
parecer;8;6;0;3
objeto;3;2;5;4
nota;3;0;1;11
mandar;3;0;3;11
função;1;1;16;1
depoimento;9;0;2;2
corte;5;1;9;0
corrupção;2;6;8;0
acusar;2;1;17;0
vara;15;0;2;0
sentença;9;2;2;1
reconhecer;9;1;5;0
paulo;2;2;2;11
